Date;Open;High;Low;Close;Adj Close;Volume
01/04/2006;36,669998;38,84;35,009998;35,209999;35,209999;106758600
01/05/2006;35,189999;36,5;31,52;34,610001;34,610001;146896000
01/06/2006;34,630001;38,84;32,419998;38,68;38,68;115117400
01/07/2006;38,52;38,619999;25,959999;26,889999;26,889999;228663400
01/08/2006;26,549999;30,99;25,76;30,83;30,83;159186800
01/09/2006;30,85;32,810001;29,68;32,119999;32,119999;146018700
01/10/2006;31,98;38,59;30,58;38,09;38,09;209485000
01/11/2006;38,130001;43,25;36,869999;40,34;40,34;146802400
01/12/2006;40,259998;40,639999;37,700001;39,459999;39,459999;121040700
01/01/2007;38,68;39,139999;36,299999;37,669998;37,669998;130435300
01/02/2007;37,950001;42;36,68;39,139999;39,139999;157975400
01/03/2007;39,32;40,240002;37,040001;39,790001;39,790001;142153100
01/04/2007;39,849998;63,84;39,549999;61,330002;61,330002;346287000
01/05/2007;61,119999;73,309998;59,700001;69,139999;69,139999;330242400
01/06/2007;68,900002;74,720001;66,709999;68,410004;68,410004;238788700
01/07/2007;68,809998;89;68,010002;78,540001;78,540001;264827800
01/08/2007;78,099998;80,800003;70,050003;79,910004;79,910004;175514000
01/09/2007;79,900002;94,260002;79,730003;93,150002;93,150002;122273200
01/10/2007;93,419998;101,089996;83,269997;89,150002;89,150002;231988500
01/11/2007;87,75;91,470001;76,5;90,559998;90,559998;180196500
01/12/2007;90,029999;95,940002;83,860001;92,639999;92,639999;127062200
01/01/2008;95,349998;97,43;68,839996;77,699997;77,699997;288335400
01/02/2008;79,019997;79,400002;63,970001;64,470001;64,470001;211217800
01/03/2008;63,59;76,93;61,200001;71,300003;71,300003;192685600
01/04/2008;72,989998;82,639999;70,650002;78,629997;78,629997;197849400
01/05/2008;78,400002;84,75;71,559998;81,620003;81,620003;152573200
01/06/2008;81,150002;84,879997;72,620003;73,330002;73,330002;152905700
01/07/2008;72,239998;82,379997;62,990002;76,339996;76,339996;215813300
01/08/2008;76,360001;91,75;74,050003;80,809998;80,809998;149044400
01/09/2008;83,160004;86,769997;61,32;72,760002;72,760002;192463400
01/10/2008;71,779999;71,989998;43,310001;57,240002;57,240002;332074700
01/11/2008;56,349998;58,73;34,68;42,700001;42,700001;228051500
01/12/2008;42;54,849998;38,82;51,279999;51,279999;206194300
01/01/2009;51,349998;59,740002;47,630001;58,82;58,82;204072300
01/02/2009;58,57;67,360001;58,130001;64,790001;64,790001;186780200
01/03/2009;63,939999;75,610001;59,82;73,440002;73,440002;227672300
01/04/2009;73,019997;86,68;71,709999;80,519997;80,519997;185032000
01/05/2009;80,379997;83,599998;73,099998;77,989998;77,989998;137603400
01/06/2009;78,209999;88,559998;76,25;83,660004;83,660004;152085400
01/07/2009;84,419998;94,400002;75,410004;85,760002;85,760002;175461400
01/08/2009;86,559998;88,199997;80,25;81,190002;81,190002;112622900
01/09/2009;80,739998;94,5;77,510002;93,360001;93,360001;128121800
01/10/2009;92,5;125,68;88,269997;118,809998;118,809998;268616400
01/11/2009;118,660004;136,080002;116,25;135,910004;135,910004;160305100
01/12/2009;136,940002;145,910004;125,650002;134,520004;134,520004;207471100
01/01/2010;136,25;136,610001;118,120003;125,410004;125,410004;230861000
01/02/2010;123,18;124,860001;113,82;118,400002;118,400002;210145800
01/03/2010;118,699997;138,190002;117,529999;135,770004;135,770004;158042600
01/04/2010;135,800003;151,089996;130,779999;137,100006;137,100006;173025100
01/05/2010;137,199997;139,440002;117,519997;125,459999;125,459999;140909900
01/06/2010;124,970001;129,149994;106,010002;109,260002;109,260002;133378500
01/07/2010;108,900002;124,879997;105,800003;117,889999;117,889999;175326200
01/08/2010;119,150002;130,809998;117,57;124,830002;124,830002;113419800
01/09/2010;126,360001;161,779999;126,169998;157,059998;157,059998;134321000
01/10/2010;157,080002;171,990005;151,399994;165,229996;165,229996;142883500
01/11/2010;164,449997;181,839996;156,770004;175,399994;175,399994;131011400
01/12/2010;179,160004;185,649994;173,089996;180;180;93661700
01/01/2011;181,369995;191,600006;166,899994;169,639999;169,639999;113611300
01/02/2011;170,520004;191,399994;169,509995;173,289993;173,289993;95776400
01/03/2011;173,529999;181,570007;160,589996;180,130005;180,130005;118979100
01/04/2011;181,580002;197,800003;175,369995;195,809998;195,809998;116749400
01/05/2011;196,570007;206,389999;190,880005;196,690002;196,690002;106274500
01/06/2011;196,059998;206,25;181,589996;204,490005;204,490005;95563700
01/07/2011;205,550003;227,199997;203,610001;222,520004;222,520004;92808500
01/08/2011;225;227,449997;177,100006;215,229996;215,229996;155194700
01/09/2011;215,279999;244;204,470001;216,229996;216,229996;143623300
01/10/2011;217,009995;246,710007;196,509995;213,509995;213,509995;159214400
01/11/2011;208,110001;222,350006;181,509995;192,289993;192,289993;136588100
01/12/2011;191,850006;199,660004;166,970001;173,100006;173,100006;125595200
01/01/2012;175,889999;196,5;173,5;194,440002;194,440002;110536900
01/02/2012;173,809998;193,570007;172;179,690002;179,690002;146580400
01/03/2012;179,889999;209,850006;176,580002;202,509995;202,509995;112975100
01/04/2012;198,020004;233,839996;183,649994;231,899994;231,899994;110535400
01/05/2012;229,399994;232,970001;207,110001;212,910004;212,910004;92774300
01/06/2012;208,440002;228,350006;206,369995;228,350006;228,350006;65745600
01/07/2012;229,300003;240,740005;212,610001;233,300003;233,300003;77340200
01/08/2012;234,139999;250;228,660004;248,270004;248,270004;60192400
01/09/2012;248,270004;264,109985;244,660004;254,320007;254,320007;63570500
01/10/2012;255,399994;261,899994;222,919998;232,889999;232,889999;81568500
01/11/2012;234,229996;252,649994;218,179993;252,050003;252,050003;67213600
01/12/2012;252,539993;263,109985;242,75;250,869995;250,869995;60871200
01/01/2013;256,079987;284,720001;253,259995;265,5;265,5;84226400
01/02/2013;268,929993;274,299988;255,110001;264,269989;264,269989;68661700
01/03/2013;263,269989;277,399994;252,070007;266,48999;266,48999;58505700
01/04/2013;266,980011;275,799988;248,559998;253,809998;253,809998;76916200
01/05/2013;253,899994;271,910004;245,75;269,200012;269,200012;59050500
01/06/2013;268,959991;283,339996;262,950012;277,690002;277,690002;58575800
01/07/2013;279;313,619995;277,160004;301,220001;301,220001;67536900
01/08/2013;303,079987;306,209991;279,329987;280,980011;280,980011;43773900
01/09/2013;284,730011;320,570007;284,170013;312,640015;312,640015;43468800
01/10/2013;314,220001;368,399994;296,5;364,029999;364,029999;77295400
01/11/2013;365,630005;394,100006;341,880005;393,619995;393,619995;54207700
01/12/2013;399;405,630005;379,5;398,790009;398,790009;55686700
01/01/2014;398,799988;408,059998;357,76001;358,690002;358,690002;81011900
01/02/2014;358,980011;365,869995;337,730011;362,100006;362,100006;83009000
01/03/2014;358,73999;383,109985;330,880005;336,369995;336,369995;75253500
01/04/2014;338,089996;348,299988;288;304,130005;304,130005;138278700
01/05/2014;304,130005;314,869995;284,380005;312,549988;312,549988;78579200
01/06/2014;312,589996;340,720001;303,839996;324,779999;324,779999;76580100
01/07/2014;325,859985;364,850006;311,859985;312,98999;312,98999;99426000
01/08/2014;313,690002;346,670013;304,589996;339,040009;339,040009;62031700
01/09/2014;339,980011;349,380005;317,640015;322,440002;322,440002;68032800
01/10/2014;322,040009;325,160004;284;305,459991;305,459991;111058700
01/11/2014;306,23999;341,26001;292,290009;338,640015;338,640015;68983700
01/12/2014;338,119995;340,640015;293,029999;310,350006;310,350006;86821400
01/01/2015;312,579987;359,5;285,25;354,529999;354,529999;103057100
01/02/2015;350,049988;389,369995;350,01001;380,160004;380,160004;70846200
01/03/2015;380,850006;388,420013;365,649994;372,100006;372,100006;55502800
01/04/2015;372,100006;452,649994;368,339996;421,779999;421,779999;84404800
01/05/2015;423,820007;439;414,549988;429,230011;429,230011;51983000
01/06/2015;430,399994;447,040009;419,140015;434,089996;434,089996;54987500
01/07/2015;439,350006;580,570007;425,570007;536,150024;536,150024;102070000
01/08/2015;537,450012;542,73999;451;512,890015;512,890015;82863200
01/09/2015;499,140015;549,780029;490,5;511,890015;511,890015;76768900
01/10/2015;511;630,719971;506;625,900024;625,900024;97126100
01/11/2015;627,130005;682,77002;620,409973;664,799988;664,799988;87304900
01/12/2015;673,75;696,440002;635,27002;675,890015;675,890015;90187500
01/01/2016;656,289978;657,719971;547,179993;587;587;130200900
01/02/2016;578,150024;581,799988;474;552,52002;552,52002;124144800
01/03/2016;556,289978;603,23999;538,580017;593,640015;593,640015;94009500
01/04/2016;590,48999;669,97998;585,25;659,590027;659,590027;78464200
01/05/2016;663,919983;724,22998;656;722,789978;722,789978;90614500
01/06/2016;720,900024;731,5;682,119995;715,619995;715,619995;74540900
01/07/2016;717,320007;766;716,539978;758,809998;758,809998;68635500
01/08/2016;759,869995;774,97998;750,349976;769,159973;769,159973;50000400
01/09/2016;770,900024;839,950012;756;837,309998;837,309998;67335700
01/10/2016;836;847,210022;774,609985;789,820007;789,820007;77063800
01/11/2016;799;800,840027;710,099976;750,570007;750,570007;110085900
01/12/2016;752,409973;782,460022;736,700012;768,659973;768,659973;79308600
01/01/2017;757,919983;843,840027;747,700012;823,47998;823,47998;70614000
01/02/2017;829,210022;860,859985;803;845,039978;845,039978;71748300
01/03/2017;853,049988;890,349976;833,5;886,539978;886,539978;60710700
01/04/2017;888;949,590027;884,48999;924,98999;924,98999;73539700
01/05/2017;927,799988;1001,200012;927,799988;994,619995;994,619995;76202000
01/06/2017;998,590027;1017;927;968;968;96135400
01/07/2017;972,789978;1083,310059;951;987,780029;987,780029;78812400
01/08/2017;996,109985;1006,400024;936,330017;980,599976;980,599976;77391800
01/09/2017;984,200012;1000;931,75;961,349976;961,349976;59291800
01/10/2017;964;1122,790039;950,369995;1105,280029;1105,280029;83334100
01/11/2017;1105,400024;1213,410034;1086,869995;1176,75;1176,75;77165000
01/12/2017;1172,050049;1194,780029;1124,73999;1169,469971;1169,469971;57760200
01/01/2018;1172;1472,579956;1170,51001;1450,890015;1450,890015;96371200
01/02/2018;1445;1528,699951;1265,930054;1512,449951;1512,449951;137784000
01/03/2018;1513,599976;1617,540039;1365,199951;1447,339966;1447,339966;130400100
01/04/2018;1417,619995;1638,099976;1352,880005;1566,130005;1566,130005;129919600
01/05/2018;1563,219971;1635;1546,02002;1629,619995;1629,619995;71615500
01/06/2018;1637,030029;1763,099976;1635,089966;1699,800049;1699,800049;85941300
01/07/2018;1682,699951;1880,050049;1678,060059;1777,439941;1777,439941;97521100
01/08/2018;1784;2025,569946;1776,02002;2012,709961;2012,709961;96575800
01/09/2018;2026,5;2050,5;1865;2003;2003;94445500
01/10/2018;2021,98999;2033,189941;1476,359985;1598,01001;1598,01001;183220800
01/11/2018;1623,530029;1784;1420;1690,170044;1690,170044;139290000
01/12/2018;1769,459961;1778,339966;1307;1501,969971;1501,969971;154812700
01/01/2019;1465,199951;1736,410034;1460,930054;1718,72998;1718,72998;134001700
01/02/2019;1638,880005;1673,060059;1566,76001;1639,829956;1639,829956;80936900
01/03/2019;1655,130005;1823,75;1586,569946;1780,75;1780,75;100832200
01/04/2019;1800,109985;1956,339966;1798,72998;1926,52002;1926,52002;81293700
01/05/2019;1933,089966;1964,400024;1772,699951;1775,069946;1775,069946;98214400
01/06/2019;1760,01001;1935,199951;1672;1893,630005;1893,630005;74742700
01/07/2019;1922,97998;2035,800049;1849,439941;1866,780029;1866,780029;73177400
01/08/2019;1871,719971;1897,920044;1743,51001;1776,290039;1776,290039;79771200
01/09/2019;1770;1853,660034;1709,219971;1735,910034;1735,910034;61172900
01/10/2019;1746;1798,849976;1685,060059;1776,660034;1776,660034;70360500
01/11/2019;1788,01001;1824,689941;1722,709961;1800,800049;1800,800049;52076200
01/12/2019;1804,400024;1901,400024;1735;1847,839966;1847,839966;68149600
01/01/2020;1875;2055,719971;1815,339966;2008,719971;2008,719971;84686200
01/02/2020;2010,599976;2185,949951;1811,130005;1883,75;1883,75;92498400
01/03/2020;1906,48999;1996,329956;1626,030029;1949,719971;1949,719971;163809100
01/04/2020;1932,969971;2475;1889,150024;2474;2474;124512300
01/05/2020;2336,800049;2525,449951;2256,379883;2442,370117;2442,370117;82612300
01/06/2020;2448;2796;2437,129883;2758,820068;2758,820068;87803600
01/07/2020;2757,98999;3344,290039;2754;3164,679932;3164,679932;127515700
01/08/2020;null;null;null;null;null;null
